TOT,pH,NACL,pKa
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.011,3.5,0,4.736781931
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.021,3.5,0,4.728573444
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.031,3.5,0,4.722455094
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.041,3.5,0,4.717458504
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.051,3.5,0,4.7131921
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.061,3.5,0,4.709450633
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.071,3.5,0,4.706110419
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
0.081,3.5,0,4.703090006
