TOT,NaCl,pH,pKa
0.35,40.908,6,6.830324518
0.35,46.752,6,6.777999932
0.35,52.596,6,6.71784354
0.35,58.44,6,6.713535837
0.375,5.844,6,7.096141594
0.375,11.688,6,7.109192592
0.375,17.532,6,7.10966376
0.375,23.376,6,6.94259513
0.375,29.22,6,6.911664875
0.375,35.064,6,6.873875477
0.375,40.908,6,6.828754323
0.375,46.752,6,6.775979382
0.375,52.596,6,6.715245511
0.375,58.44,6,6.71516942
0.4,5.844,6,7.096426773
0.4,11.688,6,7.109334885
0.4,17.532,6,7.10952369
0.4,23.376,6,6.941881599
0.4,29.22,6,6.910725443
0.4,35.064,6,6.872648789
0.4,40.908,6,6.827166143
0.4,46.752,6,6.773932283
0.4,52.596,6,6.712607453
0.4,58.44,6,6.716804763
0.425,5.844,6,7.096712746
0.425,11.688,6,7.109472659
0.425,17.532,6,7.109378016
0.425,23.376,6,6.941161935
0.425,29.22,6,6.909777159
0.425,35.064,6,6.871409449
0.425,40.908,6,6.825559601
0.425,46.752,6,6.771857961
0.425,52.596,6,6.709928131
0.425,58.44,6,6.71844163
0.45,5.844,6,7.096999264
0.45,11.688,6,7.109605889
0.45,17.532,6,7.109226712
0.45,23.376,6,6.94043605
0.45,29.22,6,6.908819887
0.45,35.064,6,6.870157231
0.45,40.908,6,6.823934303
0.45,46.752,6,6.769755711
0.45,52.596,6,6.707206247
0.45,58.44,6,6.72007979
0.475,5.844,6,7.09728609
0.475,11.688,6,7.109734551
0.475,17.532,6,7.109069753
0.475,23.376,6,6.939703855
0.475,29.22,6,6.90785349
0.475,35.064,6,6.868891904
0.475,40.908,6,6.822289846
0.475,46.752,6,6.767624803
0.475,52.596,6,6.704440439
0.475,58.44,6,6.721719021
0.5,5.844,6,7.097572999
0.5,11.688,6,7.109858621
0.5,17.532,6,7.108907113
0.5,23.376,6,6.938965258
0.5,29.22,6,6.906877826
0.5,35.064,6,6.867613229
0.5,40.908,6,6.820625809
0.5,46.752,6,6.765464474
0.5,52.596,6,6.701629277
0.5,58.44,6,6.723359108
0.025,5.844,6.1,7.092464541
0.025,11.688,6.1,7.106789872
0.025,17.532,6.1,7.11103396
0.025,23.376,6.1,6.951842979
0.025,29.22,6.1,6.923770416
0.025,35.064,6.1,6.889595753
0.025,40.908,6.1,6.848953765
0.025,46.752,6.1,6.801745169
0.025,52.596,6.1,6.747991966
0.025,58.44,6.1,6.692906701
0.05,5.844,6.1,7.092762227
0.05,11.688,6.1,7.107038314
0.05,17.532,6.1,7.110952722
0.05,23.376,6.1,6.951060304
0.05,29.22,6.1,6.922752985
0.05,35.064,6.1,6.888283373
0.05,40.908,6.1,6.847282378
0.05,46.752,6.1,6.799638418
0.05,52.596,6.1,6.745355501
0.05,58.44,6.1,6.694822384
0.075,5.844,6.1,7.093068849
0.075,11.688,6.1,7.107280508
0.075,17.532,6.1,7.110863344
0.075,23.376,6.1,6.95027008
0.075,29.22,6.1,6.921724735
0.075,35.064,6.1,6.886956067
0.075,40.908,6.1,6.845590365
0.075,46.752,6.1,6.797502893
0.075,52.596,6.1,6.742678515
0.075,58.44,6.1,6.696746464
0.1,5.844,6.1,7.093383446
0.1,11.688,6.1,7.10751638
0.1,17.532,6.1,7.110765794
0.1,23.376,6.1,6.949472177
0.1,29.22,6.1,6.920685486
0.1,35.064,6.1,6.885613556
0.1,40.908,6.1,6.843877282
0.1,46.752,6.1,6.795337865
0.1,52.596,6.1,6.739959808
0.1,58.44,6.1,6.69867837
0.125,5.844,6.1,7.093705123
0.125,11.688,6.1,7.10774586
0.125,17.532,6.1,7.110660039
0.125,23.376,6.1,6.948666459
0.125,29.22,6.1,6.919635054
0.125,35.064,6.1,6.884255555
0.125,40.908,6.1,6.842142665
0.125,46.752,6.1,6.793142578
0.125,52.596,6.1,6.737198126
0.125,58.44,6.1,6.700617545
0.15,5.844,6.1,7.094033039
0.15,11.688,6.1,7.107968881
0.15,17.532,6.1,7.110546044
0.15,23.376,6.1,6.947852793
0.15,29.22,6.1,6.91857325
0.15,35.064,6.1,6.882881769
0.15,40.908,6.1,6.840386039
0.15,46.752,6.1,6.790916241
0.15,52.596,6.1,6.734392153
0.15,58.44,6.1,6.702563451
0.175,5.844,6.1,7.094366413
0.175,11.688,6.1,7.108185378
0.175,17.532,6.1,7.110423774
0.175,23.376,6.1,6.947031041
0.175,29.22,6.1,6.91749988
0.175,35.064,6.1,6.881491895
0.175,40.908,6.1,6.838606907
0.175,46.752,6.1,6.788658035
0.175,52.596,6.1,6.731540511
0.175,58.44,6.1,6.70451556
0.2,5.844,6.1,7.094704509
0.2,11.688,6.1,7.108395291
0.2,17.532,6.1,7.110293192
0.2,23.376,6.1,6.946201064
0.2,29.22,6.1,6.916414746
0.2,35.064,6.1,6.88008562
0.2,40.908,6.1,6.836804758
0.2,46.752,6.1,6.786367104
0.2,52.596,6.1,6.728641753
0.2,58.44,6.1,6.706473362
0.225,5.844,6.1,7.095046642
0.225,11.688,6.1,7.10859856
0.225,17.532,6.1,7.110154261
0.225,23.376,6.1,6.945362718
0.225,29.22,6.1,6.915317645
0.225,35.064,6.1,6.878662621
0.225,40.908,6.1,6.834979061
0.225,46.752,6.1,6.784042556
0.225,52.596,6.1,6.725694361
0.225,58.44,6.1,6.708436361
0.25,5.844,6.1,7.095392167
0.25,11.688,6.1,7.10879513
0.25,17.532,6.1,7.110006941
0.25,23.376,6.1,6.944515861
0.25,29.22,6.1,6.914208369
0.25,35.064,6.1,6.877222566
0.25,40.908,6.1,6.833129264
0.25,46.752,6.1,6.781683458
0.25,52.596,6.1,6.722696739
0.25,58.44,6.1,6.710404075
0.275,5.844,6.1,7.095740484
0.275,11.688,6.1,7.108984946
0.275,17.532,6.1,7.109851192
0.275,23.376,6.1,6.943660345
0.275,29.22,6.1,6.913086704
0.275,35.064,6.1,6.875765111
0.275,40.908,6.1,6.831254797
0.275,46.752,6.1,6.779288841
0.275,52.596,6.1,6.719647209
0.275,58.44,6.1,6.712376038
0.3,5.844,6.1,7.096091027
0.3,11.688,6.1,7.109167957
0.3,17.532,6.1,7.109686973
0.3,23.376,6.1,6.942796021
0.3,29.22,6.1,6.91195243
0.3,35.064,6.1,6.874289903
0.3,40.908,6.1,6.829355066
0.3,46.752,6.1,6.776857687
0.3,52.596,6.1,6.716544003
0.3,58.44,6.1,6.714351797
0.325,5.844,6.1,7.096443267
0.325,11.688,6.1,7.109344112
0.325,17.532,6.1,7.109514239
0.325,23.376,6.1,6.941922737
0.325,29.22,6.1,6.910805321
0.325,35.064,6.1,6.872796576
0.325,40.908,6.1,6.827429455
0.325,46.752,6.1,6.774388936
0.325,52.596,6.1,6.71338526
0.325,58.44,6.1,6.716330914
0.35,5.844,6.1,7.096796707
0.35,11.688,6.1,7.109513363
0.35,17.532,6.1,7.109332947
0.35,23.376,6.1,6.941040337
0.35,29.22,6.1,6.909645147
