TOT,NaCl,pH,pKa
0.4,17.532,6.3,7.107012092
0.4,23.376,6.3,6.932084807
0.4,29.22,6.3,6.897959438
0.4,35.064,6.3,6.856222626
0.4,40.908,6.3,6.806293364
0.4,46.752,6.3,6.747661165
0.4,52.596,6.3,6.696517336
0.4,58.44,6.3,6.735918147
0.425,5.844,6.3,7.10084708
0.425,11.688,6.3,7.110958617
0.425,17.532,6.3,7.106587663
0.425,23.376,6.3,6.930627591
0.425,29.22,6.3,6.896037585
0.425,35.064,6.3,6.85371253
0.425,40.908,6.3,6.803039961
0.425,46.752,6.3,6.743459549
0.425,52.596,6.3,6.699097507
0.425,58.44,6.3,6.738786877
0.45,5.844,6.3,7.101353028
0.45,11.688,6.3,7.111074067
0.45,17.532,6.3,7.106142313
0.45,23.376,6.3,6.92914678
0.45,29.22,6.3,6.894082102
0.45,35.064,6.3,6.851154421
0.45,40.908,6.3,6.799716883
0.45,46.752,6.3,6.739154994
0.45,52.596,6.3,6.701691199
0.45,58.44,6.3,6.741656575
0.475,5.844,6.3,7.101851471
0.475,11.688,6.3,7.111172522
0.475,17.532,6.3,7.105675817
0.475,23.376,6.3,6.927641773
0.475,29.22,6.3,6.892092044
0.475,35.064,6.3,6.848546718
0.475,40.908,6.3,6.7963214
0.475,46.752,6.3,6.734742694
0.475,52.596,6.3,6.704297209
0.475,58.44,6.3,6.744526408
0.5,5.844,6.3,7.102341733
0.5,11.688,6.3,7.111253854
0.5,17.532,6.3,7.105187939
0.5,23.376,6.3,6.926111951
0.5,29.22,6.3,6.890066425
0.5,35.064,6.3,6.845887755
0.5,40.908,6.3,6.792850613
0.5,46.752,6.3,6.730217491
0.5,52.596,6.3,6.706914375
0.5,58.44,6.3,6.74739558
0.025,5.844,6.4,7.092710176
0.025,11.688,6.4,7.106996991
0.025,17.532,6.4,7.11096684
0.025,23.376,6.4,6.951235554
0.025,29.22,6.4,6.922992402
0.025,35.064,6.4,6.888611078
0.025,40.908,6.4,6.847729624
0.025,46.752,6.4,6.800248124
0.025,52.596,6.4,6.746187413
0.025,58.44,6.4,6.694170091
0.05,5.844,6.4,7.093274107
0.05,11.688,6.4,7.107437866
0.05,17.532,6.4,7.110799264
0.05,23.376,6.4,6.94983001
0.05,29.22,6.4,6.921175538
0.05,35.064,6.4,6.886285753
0.05,40.908,6.4,6.844797113
0.05,46.752,6.4,6.796596038
0.05,52.596,6.4,6.741683605
0.05,58.44,6.4,6.697370188
0.075,5.844,6.4,7.093862862
0.075,11.688,6.4,7.10785742
0.075,17.532,6.4,7.110604169
0.075,23.376,6.4,6.948400936
0.075,29.22,6.4,6.919325753
0.075,35.064,6.4,6.883916251
0.075,40.908,6.4,6.841805545
0.075,46.752,6.4,6.792864746
0.075,52.596,6.4,6.737073351
0.075,58.44,6.4,6.700597856
0.1,5.844,6.4,7.094471356
0.1,11.688,6.4,7.108255228
0.1,17.532,6.4,7.110381352
0.1,23.376,6.4,6.946947651
0.1,29.22,6.4,6.917442158
0.1,35.064,6.4,6.881501267
0.1,40.908,6.4,6.838752946
0.1,46.752,6.4,6.789051237
0.1,52.596,6.4,6.732352091
0.1,58.44,6.4,6.703850735
0.125,5.844,6.4,7.09509508
0.125,11.688,6.4,7.108630898
0.125,17.532,6.4,7.110130599
0.125,23.376,6.4,6.945469457
0.125,29.22,6.4,6.915523828
0.125,35.064,6.4,6.879039436
0.125,40.908,6.4,6.835637233
0.125,46.752,6.4,6.785152321
0.125,52.596,6.4,6.727514966
0.125,58.44,6.4,6.707126543
0.15,5.844,6.4,7.095730037
0.15,11.688,6.4,7.108984068
0.15,17.532,6.4,7.109851685
0.15,23.376,6.4,6.943965641
0.15,29.22,6.4,6.913569805
0.15,35.064,6.4,6.876529327
0.15,40.908,6.4,6.832456214
0.15,46.752,6.4,6.781164616
0.15,52.596,6.4,6.722556785
0.15,58.44,6.4,6.710423077
0.175,5.844,6.4,7.096372671
0.175,11.688,6.4,7.109314402
0.175,17.532,6.4,7.109544371
0.175,23.376,6.4,6.942435473
0.175,29.22,6.4,6.91157909
0.175,35.064,6.4,6.873969442
0.175,40.908,6.4,6.829207572
0.175,46.752,6.4,6.777084527
0.175,52.596,6.4,6.717472002
0.175,58.44,6.4,6.713738215
0.2,5.844,6.4,7.097019819
0.2,11.688,6.4,7.109621584
0.2,17.532,6.4,7.109208403
0.2,23.376,6.4,6.940878201
0.2,29.22,6.4,6.909550644
0.2,35.064,6.4,6.871358207
0.2,40.908,6.4,6.825888863
0.2,46.752,6.4,6.772908234
0.2,52.596,6.4,6.71225468
0.2,58.44,6.4,6.717069912
0.225,5.844,6.4,7.097668658
0.225,11.688,6.4,7.109905319
0.225,17.532,6.4,7.108843515
0.225,23.376,6.4,6.939293054
0.225,29.22,6.4,6.907483384
0.225,35.064,6.4,6.86869397
0.225,40.908,6.4,6.822497501
0.225,46.752,6.4,6.768631669
0.225,52.596,6.4,6.706898452
0.225,58.44,6.4,6.720416205
0.25,5.844,6.4,7.098316671
0.25,11.688,6.4,7.110165328
0.25,17.532,6.4,7.108449425
0.25,23.376,6.4,6.937679237
0.25,29.22,6.4,6.905376184
0.25,35.064,6.4,6.865974993
0.25,40.908,6.4,6.819030748
0.25,46.752,6.4,6.764250495
0.25,52.596,6.4,6.701396483
0.25,58.44,6.4,6.723775211
0.275,5.844,6.4,7.098961606
0.275,11.688,6.4,7.110401342
0.275,17.532,6.4,7.108025834
0.275,23.376,6.4,6.936035931
0.275,29.22,6.4,6.903227863
0.275,35.064,6.4,6.863199452
0.275,40.908,6.4,6.815485705
0.275,46.752,6.4,6.75976008
0.275,52.596,6.4,6.69574142
0.275,58.44,6.4,6.727145125
0.3,5.844,6.4,7.099601446
0.3,11.688,6.4,7.110613105
0.3,17.532,6.4,7.107572425
0.3,23.376,6.4,6.934362292
0.3,29.22,6.4,6.901037193
0.3,35.064,6.4,6.86036542
0.3,40.908,6.4,6.811859295
0.3,46.752,6.4,6.755155477
0.3,52.596,6.4,6.691545588
0.3,58.44,6.4,6.730524221
0.325,5.844,6.4,7.100234382
0.325,11.688,6.4,7.110800369
0.325,17.532,6.4,7.107088865
0.325,23.376,6.4,6.932657445
0.325,29.22,6.4,6.898802886
0.325,35.064,6.4,6.857470871
0.325,40.908,6.4,6.808148248
0.325,46.752,6.4,6.750431383
0.325,52.596,6.4,6.694547844
0.325,58.44,6.4,6.733910852
0.35,5.844,6.4,7.100858787
0.35,11.688,6.4,7.11096289
0.35,17.532,6.4,7.106574799
0.35,23.376,6.4,6.930920488
0.35,29.22,6.4,6.896523594
0.35,35.064,6.4,6.854513664
0.35,40.908,6.4,6.804349089
0.35,46.752,6.4,6.745582117
0.35,52.596,6.4,6.697574055
0.35,58.44,6.4,6.737303444
0.375,5.844,6.4,7.1014732
0.375,11.688,6.4,7.111100432
0.375,17.532,6.4,7.106029853
0.375,23.376,6.4,6.929150484
0.375,29.22,6.4,6.894197908
0.375,35.064,6.4,6.851491538
0.375,40.908,6.4,6.800458116
0.375,46.752,6.4,6.740601574
0.375,52.596,6.4,6.700622189
0.375,58.44,6.4,6.7407005
0.4,5.844,6.4,7.102076302
0.4,11.688,6.4,7.111212758
0.4,17.532,6.4,7.105453632
0.4,23.376,6.4,6.927346462
0.4,29.22,6.4,6.891824348
0.4,35.064,6.4,6.848402102
0.4,40.908,6.4,6.796471381
0.4,46.752,6.4,6.735483186
0.4,52.596,6.4,6.703690286
0.4,58.44,6.4,6.744100593
0.425,5.844,6.4,7.102666902
0.425,11.688,6.4,7.111299634
0.425,17.532,6.4,7.104845719
0.425,23.376,6.4,6.925507416
0.425,29.22,6.4,6.889401359
0.425,35.064,6.4,6.845242826
0.425,40.908,6.4,6.792384668
0.425,46.752,6.4,6.730219875
0.425,52.596,6.4,6.706776457
0.425,58.44,6.4,6.747502369
0.45,5.844,6.4,7.103243921
0.45,11.688,6.4,7.111360823
0.45,17.532,6.4,7.104205671
0.45,23.376,6.4,6.923632297
0.45,29.22,6.4,6.88692731
0.45,35.064,6.4,6.842011027
0.45,40.908,6.4,6.788193468
0.45,46.752,6.4,6.724803996
0.45,52.596,6.4,6.709878887
0.45,58.44,6.4,6.750904544
0.475,5.844,6.4,7.103806383
0.475,11.688,6.4,7.111396087
0.475,17.532,6.4,7.103533021
0.475,23.376,6.4,6.921720014
0.475,29.22,6.4,6.884400485
0.475,35.064,6.4,6.838703856
0.475,40.908,6.4,6.783892951
0.475,46.752,6.4,6.719227279
0.475,52.596,6.4,6.712995829
0.475,58.44,6.4,6.754305899
0.5,5.844,6.4,7.104353398
0.5,11.688,6.4,7.111405185
0.5,17.532,6.4,7.102827277
0.5,23.376,6.4,6.919769433
0.5,29.22,6.4,6.881819075
0.5,35.064,6.4,6.83531829
0.5,40.908,6.4,6.779477937
0.5,46.752,6.4,6.713480758
0.5,52.596,6.4,6.716125608
0.5,58.44,6.4,6.75770528
0.025,5.844,6.5,7.092824186
0.025,11.688,6.5,7.107090257
0.025,17.532,6.5,7.110934244
0.025,23.376,6.5,6.950968564
0.025,29.22,6.5,6.922653455
0.025,35.064,6.5,6.888187045
0.025,40.908,6.5,6.847210057
0.025,46.752,6.5,6.799623918
0.025,52.596,6.5,6.745450972
0.025,58.44,6.5,6.694673782
0.05,5.844,6.5,7.093514347
0.05,11.688,6.5,7.107614736
0.05,17.532,6.5,7.110721473
0.05,23.376,6.5,6.949286824
0.05,29.22,6.5,6.920485186
0.05,35.064,6.5,6.88542175
0.05,40.908,6.5,6.843737913
0.05,46.752,6.5,6.795322607
0.05,52.596,6.5,6.740179936
0.05,58.44,6.5,6.698390675
0.075,5.844,6.5,7.094237595
0.075,11.688,6.5,7.108107891
0.075,17.532,6.5,7.110468439
0.075,23.376,6.5,6.94757193
0.075,29.22,6.5,6.918271041
0.075,35.064,6.5,6.882595665
0.075,40.908,6.5,6.840185706
0.075,46.752,6.5,6.790915773
0.075,52.596,6.5,6.734769939
0.075,58.44,6.5,6.702147063
0.1,5.844,6.5,7.094985544
0.1,11.688,6.5,7.108568993
0.1,17.532,6.5,7.110174781
0.1,23.376,6.5,6.945822776
0.1,29.22,6.5,6.916009605
0.1,35.064,6.5,6.879706766
0.1,40.908,6.5,6.836550454
0.1,46.752,6.5,6.786399013
0.1,52.596,6.5,6.729214555
0.1,58.44,6.5,6.705939444
0.125,5.844,6.5,7.095750935
0.125,11.688,6.5,7.108997379
0.125,17.532,6.5,7.109840118
0.125,23.376,6.5,6.944038225
0.125,29.22,6.5,6.913699406
0.125,35.064,6.5,6.876752924
0.125,40.908,6.5,6.832828998
0.125,46.752,6.5,6.78176764
0.125,52.596,6.5,6.723506909
0.125,58.44,6.5,6.709764428
0.15,5.844,6.5,7.096527469
0.15,11.688,6.5,7.109392446
0.15,17.532,6.5,7.109464042
0.15,23.376,6.5,6.942217113
0.15,29.22,6.5,6.911338904
0.15,35.064,6.5,6.8737319
0.15,40.908,6.5,6.829017991
0.15,46.752,6.5,6.777016657
0.15,52.596,6.5,6.717639632
0.15,58.44,6.5,6.71361875
0.175,5.844,6.5,7.097309668
0.175,11.688,6.5,7.109753634
0.175,17.532,6.5,7.109046118
0.175,23.376,6.5,6.940358243
0.175,29.22,6.5,6.908926491
0.175,35.064,6.5,6.870641328
0.175,40.908,6.5,6.825113882
0.175,46.752,6.5,6.77214073
0.175,52.596,6.5,6.711604818
0.175,58.44,6.5,6.717499264
0.2,5.844,6.5,7.098092754
0.2,11.688,6.5,7.110080426
0.2,17.532,6.5,7.108585881
0.2,23.376,6.5,6.93846038
0.2,29.22,6.5,6.906460485
0.2,35.064,6.5,6.867478715
0.2,40.908,6.5,6.821112897
0.2,46.752,6.5,6.767134157
0.2,52.596,6.5,6.705393966
0.2,58.44,6.5,6.721402947
0.225,5.844,6.5,7.098872557
0.225,11.688,6.5,7.110372335
0.225,17.532,6.5,7.108082836
0.225,23.376,6.5,6.936522248
0.225,29.22,6.5,6.903939122
0.225,35.064,6.5,6.864241425
0.225,40.908,6.5,6.817011021
0.225,46.752,6.5,6.761990834
0.225,52.596,6.5,6.69899793
0.225,58.44,6.5,6.725326903
0.25,5.844,6.5,7.099645421
0.25,11.688,6.5,7.110628898
0.25,17.532,6.5,7.107536452
0.25,23.376,6.5,6.934542531
0.25,29.22,6.5,6.901360554
0.25,35.064,6.5,6.86092667
0.25,40.908,6.5,6.812803978
0.25,46.752,6.5,6.756704218
0.25,52.596,6.5,6.692406846
0.25,58.44,6.5,6.729268358
0.275,5.844,6.5,7.100408141
0.275,11.688,6.5,7.110849674
0.275,17.532,6.5,7.106946163
0.275,23.376,6.5,6.932519862
0.275,29.22,6.5,6.898722836
0.275,35.064,6.5,6.857531499
0.275,40.908,6.5,6.80848721
0.275,46.752,6.5,6.751267284
0.275,52.596,6.5,6.69375462
0.275,58.44,6.5,6.733224663
0.3,5.844,6.5,7.101157896
0.3,11.688,6.5,7.111034234
0.3,17.532,6.5,7.106311366
0.3,23.376,6.5,6.930452825
0.3,29.22,6.5,6.896023928
0.3,35.064,6.5,6.854052782
0.3,40.908,6.5,6.804055845
0.3,46.752,6.5,6.745672478
0.3,52.596,6.5,6.697271772
0.3,58.44,6.5,6.737193292
0.325,5.844,6.5,7.101892196
0.325,11.688,6.5,7.111182158
0.325,17.532,6.5,7.105631413
0.325,23.376,6.5,6.928339946
0.325,29.22,6.5,6.89326168
0.325,35.064,6.5,6.850487196
0.325,40.908,6.5,6.799504675
0.325,46.752,6.5,6.739911663
0.325,52.596,6.5,6.700822095
0.325,58.44,6.5,6.741171841
0.35,5.844,6.5,7.102608844
0.35,11.688,6.5,7.111293033
0.35,17.532,6.5,7.104905616
0.35,23.376,6.5,6.926179693
0.35,29.22,6.5,6.890433824
0.35,35.064,6.5,6.846831208
0.35,40.908,6.5,6.794828122
0.35,46.752,6.5,6.733976061
0.35,52.596,6.5,6.704402579
0.35,58.44,6.5,6.745158025
0.375,5.844,6.5,7.103305888
0.375,11.688,6.5,7.111366443
0.375,17.532,6.5,7.104133239
0.375,23.376,6.5,6.923970467
0.375,29.22,6.5,6.88753797
0.375,35.064,6.5,6.843081061
0.375,40.908,6.5,6.7900202
0.375,46.752,6.5,6.727856183
0.375,52.596,6.5,6.708010327
0.375,58.44,6.5,6.749149675
0.4,5.844,6.5,7.103981595
0.4,11.688,6.5,7.111401972
0.4,17.532,6.5,7.103313497
0.4,23.376,6.5,6.921710598
0.4,29.22,6.5,6.884571591
0.4,35.064,6.5,6.839232747
0.4,40.908,6.5,6.78507448
0.4,46.752,6.5,6.721541753
0.4,52.596,6.5,6.711642555
0.4,58.44,6.5,6.753144738
0.425,5.844,6.5,7.104634415
0.425,11.688,6.5,7.111399197
0.425,17.532,6.5,7.102445552
0.425,23.376,6.5,6.91939834
0.425,29.22,6.5,6.881532014
0.425,35.064,6.5,6.835281992
0.425,40.908,6.5,6.779984039
0.425,46.752,6.5,6.715021622
0.425,52.596,6.5,6.71529659
0.425,58.44,6.5,6.757141271
0.45,5.844,6.5,7.105262964
0.45,11.688,6.5,7.111357682
0.45,17.532,6.5,7.101528509
0.45,23.376,6.5,6.917031865
0.45,29.22,6.5,6.878416408
0.45,35.064,6.5,6.831224226
0.45,40.908,6.5,6.774741415
0.45,46.752,6.5,6.70828367
0.45,52.596,6.5,6.718969871
0.45,58.44,6.5,6.761137442
0.475,5.844,6.5,7.105865995
0.475,11.688,6.5,7.111276982
0.475,17.532,6.5,7.100561415
0.475,23.376,6.5,6.914609256
0.475,29.22,6.5,6.875221769
0.475,35.064,6.5,6.827054554
0.475,40.908,6.5,6.769338548
0.475,46.752,6.5,6.70131469
0.475,52.596,6.5,6.722659951
0.475,58.44,6.5,6.765131521
0.5,5.844,6.5,7.106442384
0.5,11.688,6.5,7.111156633
0.5,17.532,6.5,6.944264391
0.5,23.376,6.5,6.912128496
0.5,29.22,6.5,6.871944906
0.5,35.064,6.5,6.822767734
0.5,40.908,6.5,6.763766711
0.5,46.752,6.5,6.694100262
0.5,52.596,6.5,6.726364489
0.5,58.44,6.5,6.769121883
0.025,5.844,6.6,7.092956376
0.025,11.688,6.6,7.107196285
0.025,17.532,6.6,7.110895317
0.025,23.376,6.6,6.950669814
0.025,29.22,6.6,6.922276379
0.025,35.064,6.6,6.887718831
0.025,40.908,6.6,6.846641627
0.025,46.752,6.6,6.798948565
0.025,52.596,6.6,6.744664611
0.025,58.44,6.6,6.69520495
0.05,5.844,6.6,7.093794466
0.05,11.688,6.6,7.107813381
0.05,17.532,6.6,7.110626173
0.05,23.376,6.6,6.948677408
0.05,29.22,6.6,6.919715196
0.05,35.064,6.6,6.8844655
0.05,40.908,6.6,6.842576752
0.05,46.752,6.6,6.793942543
0.05,52.596,6.6,6.738572421
0.05,58.44,6.6,6.699470303
0.075,5.844,6.6,7.094675193
0.075,11.688,6.6,7.10838518
0.075,17.532,6.6,7.110299079
0.075,23.376,6.6,6.946639326
0.075,29.22,6.6,6.917091597
0.075,35.064,6.6,6.881130647
0.075,40.908,6.6,6.838406306
0.075,46.752,6.6,6.788800074
0.075,52.596,6.6,6.732304526
0.075,58.44,6.6,6.70379093
0.1,5.844,6.6,7.095585191
0.1,11.688,6.6,7.108910468
0.1,17.532,6.6,7.109913416
0.1,23.376,6.6,6.944553837
0.1,29.22,6.6,6.914403433
0.1,35.064,6.6,6.877711281
0.1,40.908,6.6,6.834126015
0.1,46.752,6.6,6.783515067
0.1,52.596,6.6,6.7258524
0.1,58.44,6.6,6.708161852
0.125,5.844,6.6,7.096513183
0.125,11.688,6.6,7.109388158
0.125,17.532,6.6,7.10946852
0.125,23.376,6.6,6.942419163
0.125,29.22,6.6,6.911648455
0.125,35.064,6.6,6.874204241
0.125,40.908,6.6,6.829731333
0.125,46.752,6.6,6.778081019
0.125,52.596,6.6,6.719206907
0.125,58.44,6.6,6.712578251
0.15,5.844,6.6,7.09744962
0.15,11.688,6.6,7.109817266
0.15,17.532,6.6,7.108963674
0.15,23.376,6.6,6.940233479
0.15,29.22,6.6,6.908824304
0.15,35.064,6.6,6.870606181
0.15,40.908,6.6,6.825217421
0.15,46.752,6.6,6.772490973
0.15,52.596,6.6,6.71235824
0.15,58.44,6.6,6.717035478
0.175,5.844,6.6,7.098386392
0.175,11.688,6.6,7.110196891
0.175,17.532,6.6,7.108398107
0.175,23.376,6.6,6.9379949
0.175,29.22,6.6,6.905928504
0.175,35.064,6.6,6.866913559
0.175,40.908,6.6,6.820579122
0.175,46.752,6.6,6.766737478
0.175,52.596,6.6,6.705295862
0.175,58.44,6.6,6.721529056
0.2,5.844,6.6,7.099316586
0.2,11.688,6.6,7.110526198
0.2,17.532,6.6,7.107770985
0.2,23.376,6.6,6.935701478
0.2,29.22,6.6,6.90295845
0.2,35.064,6.6,6.863122616
0.2,40.908,6.6,6.815810931
0.2,46.752,6.6,6.760812546
0.2,52.596,6.6,6.698008434
0.2,58.44,6.6,6.726054685
0.225,5.844,6.6,7.100234291
0.225,11.688,6.6,7.110804401
0.225,17.532,6.6,7.107081411
0.225,23.376,6.6,6.933351193
0.225,29.22,6.6,6.8999114
0.225,35.064,6.6,6.859229358
0.225,40.908,6.6,6.810906968
0.225,46.752,6.6,6.754707597
0.225,52.596,6.6,6.69126938
0.225,58.44,6.6,6.730608246
0.25,5.844,6.6,7.101134436
0.25,11.688,6.6,7.11103075
0.25,17.532,6.6,7.106328414
0.25,23.376,6.6,6.930941949
0.25,29.22,6.6,6.89678446
0.25,35.064,6.6,6.85522954
0.25,40.908,6.6,6.805860937
0.25,46.752,6.6,6.748413402
0.25,52.596,6.6,6.695284106
0.25,58.44,6.6,6.7351858
0.275,5.844,6.6,7.102012656
0.275,11.688,6.6,7.11120452
0.275,17.532,6.6,7.105510947
0.275,23.376,6.6,6.928471562
0.275,29.22,6.6,6.893574577
0.275,35.064,6.6,6.85111864
0.275,40.908,6.6,6.800666094
0.275,46.752,6.6,6.741920025
0.275,52.596,6.6,6.699349396
0.275,58.44,6.6,6.739783592
0.3,5.844,6.6,7.102865177
0.3,11.688,6.6,7.111324998
0.3,17.532,6.6,7.10462788
0.3,23.376,6.6,6.925937753
0.3,29.22,6.6,6.890278519
0.3,35.064,6.6,6.846891837
0.3,40.908,6.6,6.7953152
0.3,46.752,6.6,6.735216745
0.3,52.596,6.6,6.703460777
0.3,58.44,6.6,6.744398045
0.325,5.844,6.6,7.103688728
0.325,11.688,6.6,7.111391474
0.325,17.532,6.6,7.103677996
0.325,23.376,6.6,6.923338141
0.325,29.22,6.6,6.886892862
0.325,35.064,6.6,6.842543982
0.325,40.908,6.6,6.789800473
0.325,46.752,6.6,6.728291979
0.325,52.596,6.6,6.707613935
0.325,58.44,6.6,6.749025766
0.35,5.844,6.6,7.104480456
0.35,11.688,6.6,7.111403232
0.35,17.532,6.6,7.102659979
0.35,23.376,6.6,6.920670233
0.35,29.22,6.6,6.883413976
0.35,35.064,6.6,6.838069566
0.35,40.908,6.6,6.784113538
0.35,46.752,6.6,6.721133195
0.35,52.596,6.6,6.711804715
0.35,58.44,6.6,6.753663535
0.375,5.844,6.6,7.105237866
0.375,11.688,6.6,7.111359544
0.375,17.532,6.6,7.101572412
0.375,23.376,6.6,6.91793141
0.375,29.22,6.6,6.879838003
0.375,35.064,6.6,6.833462692
0.375,40.908,6.6,6.77824536
0.375,46.752,6.6,6.713726807
0.375,52.596,6.6,6.716029125
0.375,58.44,6.6,6.758308307
0.4,5.844,6.6,7.105958761
0.4,11.688,6.6,7.111259659
0.4,17.532,6.6,7.100413767
0.4,23.376,6.6,6.91511892
0.4,29.22,6.6,6.876160838
0.4,35.064,6.6,6.828717032
0.4,40.908,6.6,6.772186182
0.4,46.752,6.6,6.706058063
0.4,52.596,6.6,6.720283339
0.4,58.44,6.6,6.762957208
0.425,5.844,6.6,7.106641195
0.425,11.688,6.6,7.111102795
0.425,17.532,6.6,6.944207685
0.425,23.376,6.6,6.912229862
0.425,29.22,6.6,6.872378108
0.425,35.064,6.6,6.823825786
0.425,40.908,6.6,6.765925445
0.425,46.752,6.6,6.69811092
0.425,52.596,6.6,6.724563697
0.425,58.44,6.6,6.767607531
0.45,5.844,6.6,7.107283435
0.45,11.688,6.6,7.110888139
0.45,17.532,6.6,6.941966098
0.45,23.376,6.6,6.909261178
0.45,29.22,6.6,6.868485144
0.45,35.064,6.6,6.818781635
0.45,40.908,6.6,6.759451702
0.45,46.752,6.6,6.691515623
0.45,52.596,6.6,6.728866703
0.45,58.44,6.6,6.772256727
0.475,5.844,6.6,7.107883923
0.475,11.688,6.6,7.110614831
0.475,17.532,6.6,6.939666237
0.475,23.376,6.6,6.906209633
0.475,29.22,6.6,6.864476956
0.475,35.064,6.6,6.813576689
0.475,40.908,6.6,6.75275252
0.475,46.752,6.6,6.695356266
0.475,52.596,6.6,6.733189025
0.475,58.44,6.6,6.776902407
0.5,5.844,6.6,7.10844125
0.5,11.688,6.6,7.110281965
0.5,17.532,6.6,6.937305703
0.5,23.376,6.6,6.9030718
0.5,29.22,6.6,6.8603482
0.5,35.064,6.6,6.808202422
0.5,40.908,6.6,6.745814365
0.5,46.752,6.6,6.699239454
0.5,52.596,6.6,6.737527494
0.5,58.44,6.6,6.781542332
0.025,5.844,6.7,7.093106993
0.025,11.688,6.7,7.107314485
0.025,17.532,6.7,7.110849488
0.025,23.376,6.7,6.950342607
0.025,29.22,6.7,6.921866048
0.025,35.064,6.7,6.887213521
0.025,40.908,6.7,6.84603433
0.025,46.752,6.7,6.798235674
0.025,52.596,6.7,6.743846146
0.025,58.44,6.7,6.695751173
0.05,5.844,6.7,7.094115216
0.05,11.688,6.7,7.108031644
0.05,17.532,6.7,7.110510996
0.05,23.376,6.7,6.948008126
0.05,29.22,6.7,6.918875157
0.05,35.064,6.7,6.883431232
0.05,40.908,6.7,6.841334034
0.05,46.752,6.7,6.792483988
0.05,52.596,6.7,6.73689826
0.05,58.44,6.7,6.700584674
0.075,5.844,6.7,7.095176326
0.075,11.688,6.7,7.108684486
0.075,17.532,6.7,7.110090657
0.075,23.376,6.7,6.945612258
0.075,29.22,6.7,6.915801557
0.075,35.064,6.7,6.879542643
0.075,40.908,6.7,6.836498626
0.075,46.752,6.7,6.78656136
0.075,52.596,6.7,6.729735479
0.075,58.44,6.7,6.705493563
0.1,5.844,6.7,7.096269778
0.1,11.688,6.7,7.10927105
0.1,17.532,6.7,7.109587439
0.1,23.376,6.7,6.943152413
0.1,29.22,6.7,6.912642136
0.1,35.064,6.7,6.875543557
0.1,40.908,6.7,6.831522312
0.1,46.752,6.7,6.780459856
0.1,52.596,6.7,6.722347189
0.1,58.44,6.7,6.710471085
0.125,5.844,6.7,7.097378712
0.125,11.688,6.7,7.109789604
0.125,17.532,6.7,7.109000224
0.125,23.376,6.7,6.940625931
0.125,29.22,6.7,6.909393621
0.125,35.064,6.7,6.871429522
0.125,40.908,6.7,6.826398916
0.125,46.752,6.7,6.774170996
0.125,52.596,6.7,6.71472203
0.125,58.44,6.7,6.715510685
0.15,5.844,6.7,7.098489226
0.15,11.688,6.7,7.110238594
0.15,17.532,6.7,7.108327794
0.15,23.376,6.7,6.938030074
0.15,29.22,6.7,6.906052576
0.15,35.064,6.7,6.867195813
0.15,40.908,6.7,6.821121848
0.15,46.752,6.7,6.767685699
0.15,52.596,6.7,6.706847825
0.15,58.44,6.7,6.720606026
0.175,5.844,6.7,7.099589799
0.175,11.688,6.7,7.110616604
0.175,17.532,6.7,7.107568825
0.175,23.376,6.7,6.935362014
0.175,29.22,6.7,6.902615377
0.175,35.064,6.7,6.862837409
0.175,40.908,6.7,6.815684067
0.175,46.752,6.7,6.760994235
0.175,52.596,6.7,6.698711518
0.175,58.44,6.7,6.725750996
0.2,5.844,6.7,7.100670843
0.2,11.688,6.7,7.110922319
0.2,17.532,6.7,7.106721871
0.2,23.376,6.7,6.932618817
0.2,29.22,6.7,6.899078199
0.2,35.064,6.7,6.858348961
0.2,40.908,6.7,6.810078037
0.2,46.752,6.7,6.754086164
0.2,52.596,6.7,6.69137074
0.2,58.44,6.7,6.730939716
0.225,5.844,6.7,7.101724336
0.225,11.688,6.7,7.111154497
0.225,17.532,6.7,7.105785355
0.225,23.376,6.7,6.929797434
0.225,29.22,6.7,6.895436998
0.225,35.064,6.7,6.85372477
0.225,40.908,6.7,6.804295691
0.225,46.752,6.7,6.746950273
0.225,52.596,6.7,6.695930077
0.225,58.44,6.7,6.73616655
0.25,5.844,6.7,7.102743536
0.25,11.688,6.7,7.111311934
0.25,17.532,6.7,7.104757558
0.25,23.376,6.7,6.926894687
0.25,29.22,6.7,6.891687491
0.25,35.064,6.7,6.848958751
0.25,40.908,6.7,6.798328371
0.25,46.752,6.7,6.739574499
0.25,52.596,6.7,6.700559549
0.25,58.44,6.7,6.741426109
0.275,5.844,6.7,7.103722745
0.275,11.688,6.7,7.111393451
0.275,17.532,6.7,7.103636603
0.275,23.376,6.7,6.923907253
0.275,29.22,6.7,6.887825132
0.275,35.064,6.7,6.844044399
0.275,40.908,6.7,6.792166782
0.275,46.752,6.7,6.73194586
0.275,52.596,6.7,6.705252977
0.275,58.44,6.7,6.74671325
0.3,5.844,6.7,7.10465712
0.3,11.688,6.7,7.111397864
0.3,17.532,6.7,7.102420444
0.3,23.376,6.7,6.920831648
0.3,29.22,6.7,6.883845093
0.3,35.064,6.7,6.838974751
0.3,40.908,6.7,6.785800923
0.3,46.752,6.7,6.724050357
0.3,52.596,6.7,6.71000439
0.3,58.44,6.7,6.752023081
0.325,5.844,6.7,7.105542519
0.325,11.688,6.7,7.111323972
0.325,17.532,6.7,7.101106852
0.325,23.376,6.7,6.917664211
0.325,29.22,6.7,6.879742231
0.325,35.064,6.7,6.833742341
0.325,40.908,6.7,6.779220025
0.325,46.752,6.7,6.715872885
